title,artist,link
Untitled (2018),Shirley Brown,https://collections.ed.ac.uk/art/./record/22518?highlight=*:*
Scraps (2019),Willie Rodger,https://collections.ed.ac.uk/art/./record/19500?highlight=*:*
Untitled (toasting fork) (1991),Mohamed Ounouh,https://collections.ed.ac.uk/art/./record/20189?highlight=*:*
Abstract Composition with Blue Stripes (1969),Ian G. Robertson,https://collections.ed.ac.uk/art/./record/22562?highlight=*:*
Blue and Black Grid (2018),Joan E. Smith,https://collections.ed.ac.uk/art/./record/22550?highlight=*:*
Laidlaw Steel (1973),William Johnstone,https://collections.ed.ac.uk/art/./record/542?highlight=*:*
Birth of Venus (1980),William Johnstone,https://collections.ed.ac.uk/art/./record/524?highlight=*:*
Landscape (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/642?highlight=*:*
Abstract Brush Drawing (1979),William Johnstone,https://collections.ed.ac.uk/art/./record/586?highlight=*:*
Untitled - Abstract Collage (1969),Leslie McConnell,https://collections.ed.ac.uk/art/./record/99408?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,https://collections.ed.ac.uk/art/./record/99414?highlight=*:*
Untitled - Abstract Blue and Red Shapes (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/./record/99387?highlight=*:*
The Misadventure (1989),John Brown,https://collections.ed.ac.uk/art/./record/99468?highlight=*:*
Unknown (French Streetscene) (2018),Unknown,https://collections.ed.ac.uk/art/./record/99228?highlight=*:*
Big Black Crow Valley (1988),Joanna De Pear,https://collections.ed.ac.uk/art/./record/99464?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker,https://collections.ed.ac.uk/art/./record/99445?highlight=*:*
Roaming in the Gloaming (1972),William Johnstone,https://collections.ed.ac.uk/art/./record/588?highlight=*:*
Grey Form (1976),William Johnstone,https://collections.ed.ac.uk/art/./record/645?highlight=*:*
Untitled - Circus Rider and Horse (1963),Jean M. Marshall,https://collections.ed.ac.uk/art/./record/99364?highlight=*:*
Lovers and birds (1963),Norman Thom,https://collections.ed.ac.uk/art/./record/99418?highlight=*:*
"Untitled - Abstract Green, Purple and Brown Shapes (1989)",Joanne Leonie Milne,https://collections.ed.ac.uk/art/./record/99388?highlight=*:*
Untitled - Girl with Crows (1961-1962),Gwendolene E Roger,https://collections.ed.ac.uk/art/./record/99399?highlight=*:*
Untitled - Abstract Male (1960),George H McIntosh,https://collections.ed.ac.uk/art/./record/99396?highlight=*:*
Untitled - Abstract Crowd Scene (1964-1965),William Gillon,https://collections.ed.ac.uk/art/./record/99477?highlight=*:*
Untitled - Greenhouse (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/./record/99448?highlight=*:*
Untitled - Figures and Bicycles in the City (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/./record/99450?highlight=*:*
Untitled - Abstract Stripes (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/./record/99423?highlight=*:*
Untitled - Three Horse Riders (1963),Iona Murray,https://collections.ed.ac.uk/art/./record/99403?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,https://collections.ed.ac.uk/art/./record/99474?highlight=*:*
Maize III (1979),Penelope Low,https://collections.ed.ac.uk/art/./record/99472?highlight=*:*
Untitled - Front of boat (1969),John H McKerrell,https://collections.ed.ac.uk/art/./record/99356?highlight=*:*
Untitled - Abstract Building (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/./record/99422?highlight=*:*
Untitled - Nude Male in the Forest (1963),Leonore D Mackay,https://collections.ed.ac.uk/art/./record/99395?highlight=*:*
Untitled - Two Birds (1963),Norman Thom,https://collections.ed.ac.uk/art/./record/99417?highlight=*:*
Untitled - Abstract Forest Landscape (1965-1966),Laura McPherson,https://collections.ed.ac.uk/art/./record/99391?highlight=*:*
Opuntia Lencotricha (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/./record/99457?highlight=*:*
Opuntia Alburdina (America) (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/./record/99460?highlight=*:*
Untitled - Jousting Match (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/./record/99447?highlight=*:*
Camp II (1982),Reinhard Behrens,https://collections.ed.ac.uk/art/./record/99465?highlight=*:*
Untitled - Abstract Still Life of Flowers and Fruit (1963),Ann F Ward,https://collections.ed.ac.uk/art/./record/99351?highlight=*:*
"Poster of Untitled, from the Rothko Portfolio (Schubert 19) 1973 (1973)",Bridget Riley,https://collections.ed.ac.uk/art/./record/99488?highlight=*:*
Untitled - Nude Bathing Figures (1963),F. Milner,https://collections.ed.ac.uk/art/./record/99365?highlight=*:*
Untitled - Horses and Riders (1963),Jean M. Marshall,https://collections.ed.ac.uk/art/./record/99363?highlight=*:*
Untitled - Woodland Fantasy in Green (1963),Jean M. Marshall,https://collections.ed.ac.uk/art/./record/99362?highlight=*:*
Untitled - Sprite in Long Gown (1963),Iona Murray,https://collections.ed.ac.uk/art/./record/99402?highlight=*:*
Untitled - Still Life With Flowers (1961-1962),Gwendolene E Roger,https://collections.ed.ac.uk/art/./record/99400?highlight=*:*
